Isin;Name;LegalName;ProviderCompanyName;CategoryName;Currency;SRRI;TER;ManagementFee;InitialPurchase;Rent2026YTD;Rent2025;Rent2024;Rent2023;Rent2022;Volatilidad1A;Vol3A_est;MaxDD3A_est
LU0114723033;FF GLOBAL INDUSTRIALS FUN;FIDELITY GLOBAL INDUSTRIALS FUND E ACC EUR;FIDELITY INVEST.INT.,SUC.;RENTA VARIABLE INTERNACIONAL;EUR;4;2.68;1.5;2500;20.24;4.01;15.3;16.13;5.02;9.6227;8.36;-2.92
LU0353649279;FIDELITY GLOBAL INFLATION;FIDELITY GLOBAL INFLATION-LINKED BOND A ACC EUR HEDGED;FIDELITY INVEST.INT.,SUC.;RENTA FIJA MIXTA INTERNACIONAL;EUR;2;0.71;0.5;2500;-0.56;3.3;-0.33;2.96;-7.96;2.4991;3.28;-2.1
LU0261951288;FIDELITY SWITZERLAND A AC;FIDELITY SWITZERLAND A ACC CHF;FIDELITY INVEST.INT.,SUC.;RENTA VARIABLE EURO;CHF;4;1.92;1.5;2500;6.8;10.05;3.37;10.24;-18.85;11.6687;9.51;-5.07
IE00B101K104;AXA ROSENBERG GLOBAL EMER;AXA ROSENBERG GLOBAL EMERGING B ACC EUR;AXA INVESTMENT MANAGERS;RENTA VARIABLE INTERNACIONAL;EUR;4;1.68;1.35;100;30.1;16.51;20.09;10.51;-13.44;17.9157;14.01;-1.36
LU2629011144;CANDRIAM BONDS GLOBAL GOV;CANDRIAM BONDS GLOBAL GOVERNME AH ACC EUR HEDGED;CANDRIAM LUXEMBOURG;RENTA FIJA INTERNACIONAL;EUR;2;0.82;0.6;100;-3.98;1.01;-0.88;;;3.6334;4.35;-2.6
LU2637814901;CANDRIAM BONDS GLOBAL HIG;CANDRIAM BONDS GLOBAL HIGH YIELD C ACC USD HEDGED;CANDRIAM LUXEMBOURG;RENTA FIJA INTERNACIONAL;USD;2;1.47;1.2;100;2.26;-4.41;13.82;;;2.7219;6.96;-7.55
LU0654531184;CANDRIAM EQUITIES L GLOBA;CANDRIAM EQUITIES L GLOBAL DEMOGRAPHY C ACC EUR;CANDRIAM LUXEMBOURG;RENTA VARIABLE INTERNACIONAL;EUR;4;2.03;1.6;100;9.63;1.53;20.58;13.98;-15.5;10.0396;12.02;-7.88
LU1644441120;CANDRIAM SUSTAINABLE BOND;CANDRIAM SUSTAINABLE BOND GLOBAL HIGH YIELD C ACC EUR;CANDRIAM LUXEMBOURG;RENTA FIJA INTERNACIONAL;EUR;2;1.41;1.2;100;-1.24;4.37;3.99;7.84;-9.63;2.5832;3.35;-1.53
LU2109443460;CANDRIAM SUSTAINABLE BOND;CANDRIAM SUSTAINABLE BOND GLOBAL HIGH YIELD C ACC USD;CANDRIAM LUXEMBOURG;RENTA FIJA INTERNACIONAL;USD;3;1.41;1.2;100;-1.18;4.69;3.68;7.74;-9.94;7.2261;3.34;-1.27
LU0432616901;Invesco Balanced-Risk All;INVESCO BALANCED RISK ALLOCATION E CAP EUR;INVESCO A.M.;GLOBAL;EUR;3;2.13;1.75;500;15.21;4.81;1.07;2.66;-17.84;7.6908;6.08;-4.88
LU0123358656;INVESCO ENERGY E CAP EUR;INVESCO ENERGY TRANSITION ENABLEMENT E CAP EUR;INVESCO A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.85;1.5;500;12.08;5.89;2.66;3.19;-12.98;10.8547;12.16;-9.63
LU0243958393;Invesco Euro Corporate Bo;INVESCO EURO CORPORATE BOND E CAP EUR;INVESCO A.M.;RENTA FIJA EURO;EUR;2;1.52;1.25;500;-1.99;1.83;3.6;7.22;-12.69;2.9994;4.02;-1.59
LU0607519609;Invesco Euro Short Term B;INVESCO EURO SHORT TERM BOND E CAP EUR;INVESCO A.M.;RENTA FIJA INTERNACIONAL;EUR;2;0.98;0.8;500;-0.63;2.16;3.08;4.39;-6.49;1.2367;1.85;-0.73
LU0607513586;Invesco Global Equity Inc;INVESCO GLOBAL EQUITY INCOME E CAP EUR;INVESCO A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;2.38;2;500;11.94;5.4;17.43;22.1;-6.95;12.2693;10.06;-3.16
LU1097689019;INVESCO GLOBAL INCOME A A;INVESCO GLOBAL INCOME A ACC USD HEDGED;INVESCO A.M.;GLOBAL;USD;3;1.62;1.25;1500;7.64;-2.48;15.34;11.14;-3.92;7.0972;6.45;-5.63
LU1097689522;INVESCO GLOBAL INCOME E A;INVESCO GLOBAL INCOME E ACC EUR;INVESCO A.M.;GLOBAL;EUR;3;2.12;1.75;500;3.46;7.42;6.21;11.93;-12.51;7.1153;6.09;-2.11
LU0482542841;Invesco Global Investment;INVESCO GLOBAL INVESTMENT GRADE CORPORATE BOND A DIS MONTH USD;INVESCO A.M.;RENTA FIJA INTERNACIONAL;USD;2;1.02;0.75;1500;-2.31;-8.79;6.69;2.06;-13.62;3.55;5.84;-10.06
LU1097691692;INVESCO GLOBAL TOTAL RETU;INVESCO GLOBAL TOTAL RETURN BOND A ACC USD HEDGED;INVESCO A.M.;RENTA FIJA INTERNACIONAL;USD;2;1.27;1;1500;0.94;-4.94;9.45;5.69;1.37;3.6253;5.83;-8.05
LU0534239909;Invesco Global Total Retu;INVESCO GLOBAL TOTAL RETURN BOND A CAP EUR;INVESCO A.M.;RENTA FIJA INTERNACIONAL;EUR;2;1.27;1;1000;-2.52;5.2;1.27;7.02;-6.69;3.6217;5.48;-2.62
LU0794790633;INVESCO GLOBAL TOTAL RETU;INVESCO GLOBAL TOTAL RETURN BOND A DIS ANNUAL EUR;INVESCO A.M.;RENTA FIJA INTERNACIONAL;EUR;2;1.27;1;1000;-5.84;1.58;-2.46;4.28;-7.22;5.4401;6.83;-5.59
LU0534240402;Invesco Global Total Retu;INVESCO GLOBAL TOTAL RETURN BOND E CAP EUR;INVESCO A.M.;RENTA FIJA INTERNACIONAL;EUR;2;1.52;1.25;500;-2.69;4.93;1.01;6.76;-6.92;3.6272;5.48;-2.68
LU0115143165;INVESCO GREATER CHINA EQU;INVESCO GREATER CHINA EQUITY E CAP EUR;INVESCO A.M.;RENTA VARIABLE INTERNACIONAL;EUR;5;2.78;2.25;500;18.82;18.1;19.99;-11.93;-17.06;20.3529;15.87;-6.56
LU0267984697;Invesco India Equity Fund;INVESCO INDIA EQUITY E CAP EUR;INVESCO A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;2.76;2.25;500;-5.91;-22.14;31.57;22.01;-4.32;16.1042;20.05;-35.36
LU0607514980;INVESCO JAPANESE EQUITY A;INVESCO JAPANESE EQUITY ADVANTAGE E ACC EUR;INVESCO A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;2.1;1.8;500;24.28;4.87;7.55;3.44;-12.52;13.3445;12.47;-6.94
LU0243957742;Invesco Pan European High;INVESCO PAN EUROPEAN HIGH INCOME E CAP EUR;INVESCO A.M.;RENTA FIJA MIXTA EURO;EUR;2;2.12;1.75;500;2.6;5.71;4.68;8.81;-10.24;4.2878;3.96;-1.67
LU0482497954;INVESCO GLOBAL STRUCTURED;INVESCO SUSTAINABLE GLOBAL SYSTEMATIC EQUITY A CAP EUR HEDGED;INVESCO A.M.;GLOBAL;EUR;4;1.29;1;1000;7.63;15.22;14.13;11.06;-13.89;9.3073;8.69;-4.41
LU0267985314;Invesco Global Structured;INVESCO SUSTAINABLE GLOBAL SYSTEMATIC EQUITY E CAP EUR;INVESCO A.M.;GLOBAL;EUR;3;1.79;1.5;500;11.34;4.03;23.06;9.44;-6.22;6.9043;8.11;-2.5
LU0119753308;Invesco Pan European Stru;INVESCO SUSTAINABLE PAN EUROPEAN SYSTEMATIC EQUITY E CAP EUR;INVESCO A.M.;RENTA VARIABLE EURO;EUR;4;2.51;2.25;500;8.15;15.85;10.48;11.66;-13.26;9.6106;7.37;-2.68
LU0382931250;T ROWE PRICE EUROPEAN SMA;T ROWE PRICE EUROPEAN SMALLER COMPANIES EQUITY A ACC EUR;T. ROWE PRICE (LUXEMBOURG;RENTA VARIABLE EURO;EUR;4;1.77;1.6;100;8;3.87;0.86;13.49;-36.59;15.4543;11.59;-8.89
LU0566486402;ABERDEEN STANDARD SICAV I;ABRDN SICAV I - ASIA PACIFIC SUSTAINAB L A ACC EUR HEDGED;ABRDN INC.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.93;1.75;500;17.28;19.56;5.33;-6.37;-22.02;20.7237;19.18;-11.92
