Isin;Name;LegalName;ProviderCompanyName;CategoryName;Currency;SRRI;TER;ManagementFee;InitialPurchase;Rent2026YTD;Rent2025;Rent2024;Rent2023;Rent2022;Volatilidad1A;Vol3A_est;MaxDD3A_est
LU0463469048;SCHRODER GAIA EGERTON EQU;SCHRODER GAIA EGERTON EQUITY A ACC EUR;SCHRODER;RENTA VARIABLE INTERNACIONAL;EUR;3;2.41;2;10000;0.39;18.21;20;12.69;-13.86;11.4128;9.0;-4.09
LU0548376150;SCHRODER GAIA EGERTON EQU;SCHRODER GAIA EGERTON EQUITY A ACC USD HEDGED;SCHRODER;RENTA VARIABLE INTERNACIONAL;USD;4;2.44;2;10000;3.56;6.99;29.15;11.06;-6.03;11.3767;9.25;-1.53
LU1223082196;SCHRODER GLOBAL GOLD A US;SCHRODER GLOBAL GOLD A USD ACC;SCHRODER;RENTA VARIABLE INTERNACIONAL;USD;6;1.83;1.5;1000;14.35;158.29;24.34;9.51;-6.62;47.3459;34.86;-14.48
LU0232931963;SCHRODER ISF BRIC A ACC E;SCHRODER INTERNATIONAL SELECTION FUND BIC A ACC EUR;SCHRODER;RENTA VARIABLE INTERNACIONAL;EUR;4;1.83;1.5;1000;-7.7;9.66;16.21;-10.19;-18.22;13.8032;12.5;-10.36
LU1831875114;SCHRODER ISF ALL CHINA EQ;SCHRODER ISF ALL CHINA EQUITY A ACC USD;SCHRODER;RENTA VARIABLE INTERNACIONAL;USD;5;1.84;1.5;1000;-5.33;15.9;8.57;-20.32;-16.7;18.4636;19.06;-15.64
LU0177592218;SCHRODER ISF EMERGING MAR;SCHRODER ISF EMERGING MARKETS DEBT TOTAL RETURN A EUR ACC;SCHRODER;RETORNO ABSOLUTO;EUR;3;1.9;1.5;1000;1.48;10.85;-3.3;8.71;-12.08;6.7532;6.9;-4.38
LU0106253197;SCHRODER ISF EMERGING MAR;SCHRODER ISF EMERGING MARKETS DEBT TOTAL RETURN A USD ACC;SCHRODER;RETORNO ABSOLUTO;USD;3;1.87;1.5;1000;5.32;0.29;4.75;7.43;-4.31;6.7639;4.65;-4.79
LU0999521056;SCHRODER EURO EQUITY A US;SCHRODER ISF EURO EQUITY A USD HDG ACC;SCHRODER;RENTA VARIABLE EURO;USD;4;1.87;1.5;1000;12.25;9.88;21.39;4.16;-7.08;13.7233;9.93;-2.87
LU1737068558;SCHRODER ISF GLOBAL CREDI;SCHRODER ISF GLOBAL CREDIT INCOME A USD ACC;SCHRODER;RENTA FIJA INTERNACIONAL;USD;2;1.38;1.1;1000;2.02;-4.3;12.93;5.73;-7.28;2.8097;6.09;-7.39
LU0189894842;SCHRODER ISF GLOBAL HIGH;SCHRODER ISF GLOBAL HIGH YIELD A ACC EUR HEDGED;SCHRODER;RENTA FIJA INTERNACIONAL;EUR;2;1.32;1;1000;1.43;5.09;6.75;10.57;-14.23;2.8128;4.04;-0.91
